ID,Title,Topic,Category,URL,Description,Words,Duration,YouTube Title,Video Path
10,KANNADA - SIMPLE ROCKET - 07 AUG 2011 -,2,Water and surfaces,http://www.youtube.com/watch?v=3qLlovP1aFo,LAUCH YOUR OWN ROCKET !,"rocket, lauch",2 MIN 09 SEC,SIMPLE ROCKET - KANNADA - 30 MB.wmv,downloads/SIMPLE ROCKET - KANNADA - 30 MB.wmv.mp4
11,KANNADA - SWEET FLAME - 26 JAN 2011 -,1,Spinning and moving objects,http://www.youtube.com/watch?v=YLpc-OohmMA,"This is truly an enlightening experiment. This experiment must be performed under adult supervision and by wearing safety goggles and gloves. Light a candle and just press an orange peel close to the burning flame. Aromatic oils will come out as a spray from the orange peel and the flame will burst into a volcanic eruption!
http://www.arvindguptatoys.com/toys/Sweetfire.html ","press, experiment, flame, candle, close, safety, orange, burst, peel, goggles, volcanic, wearing, oils, eruption, sweetfire.html, aromatic, enlightening, gloves, performed, spray, adult, light, supervision, burning",45 SEC,SWEET FLAME  -  KANNADA  - 9 MB,downloads/SWEET FLAME  -  KANNADA  - 9 MB.mp4
12,KANNADA - ROCKET BALLOON  - 22 AUG 2010 -,6,Mixing and reactions,http://www.youtube.com/watch?v=rvgSio0MWV4,EXPERIENCE THE FUN OF A ROCKET LAUNCH !,"fun, rocket, launch, experience",1 MIN 15 SEC,BALLOON ROCKET - KANNADA - 17 MB.wmv,downloads/BALLOON ROCKET - KANNADA - 17 MB.wmv.mp4
13,KANNADA - BOTTLE BLAST - 22 AUG 2010 -,10,Air and sound,http://www.youtube.com/watch?v=34Pz1djYfP4,"Place a film can on an empty 2-litre plastic bottle. Place the bottle on the ground and hit it hard with both palms of your hand. The film reel bottle will jump up high into the air. Now stick a cone and some fins to make a Toy Rocket from the film bottle. Launch the rocket and catch it back.
http://www.arvindguptatoys.com/toys/Bottleblast.html ","bottle, plastic, air, film, hand, hard, ground, empty, jump, catch, stick, rocket, hit, reel, litre, launch, palms, fins, bottleblast.html, cone",1 MIN 19 SEC,BOTTLE BLAST - KANNADA - 17MB.wmv,downloads/BOTTLE BLAST - KANNADA - 17MB.wmv.mp4
14,KANNADA - BLOW AND FLOAT - 11 JULY 2010 -,1,Spinning and moving objects,http://www.youtube.com/watch?v=CIjSN1N8BVo,Fix a bottle cap and a 1-meter flexi plastic pipe to an old CD. Make a hole in the bottle cap. Seal the joints with rubber adhesive. Now place the CD on a smooth surface and blow through the tube. The CD will float freely on the surface just like a Hovercraft.,"cd, plastic, hole, blow, rubber, cap, tube, freely, fix, flexi, smooth, joints, seal, adhesive, hovercraft, meter, bottle, pipe, surface, float",1 MIN 45 SEC,BLOW AND FLOAT - KANNADA - 25MB.wmv,downloads/BLOW AND FLOAT - KANNADA - 25MB.wmv.mp4
15,KANNADA - UP-DOWN DOLL - 11 DEC 2011 -,10,Air and sound,http://www.youtube.com/watch?v=wOnxIpNFRAc,"For making this toy you will need a plastic bottle, straws, card sheet and other simple stuff. On pressing the bottle the doll attached to the straw will go up. On releasing pressure the doll will come down. This simple dynamic toy will give you hours of joy.
http://www.arvindguptatoys.com/toys/up-downdoll.html","bottle, plastic, straw, simple, straws, pressure, doll, pressing, dynamic, releasing, stuff, attached, card, downdoll.html, joy, hours, sheet",1 MIN 59 SEC,UP - DOWN DOLL - KANNADA - 16MB.avi,downloads/UP - DOWN DOLL - KANNADA - 16MB.avi.mp4
16,KANNADA - THREAD LOOP - 17 NOV 2009 -,3,Heat and air,http://www.youtube.com/watch?v=Dt19XaRRoxA,"This lung exerciser is made with a straw and piece of thread. This toy is a boon for children suffering from asthma. As children blow through the straw the thread loop goes round and round bringing immense joy to the child and egging her to blow harder and to exercise her lungs.
http://www.arvindguptatoys.com/toys/threadloop.html ","straw, blow, piece, children, round, thread, lungs, exercise, bringing, loop, child, asthma, boon, egging, exerciser, harder, immense, joy, lung, suffering, threadloop.html",1 MIN 07 SEC,THREAD LOOP - KANNADA - 15MB,downloads/THREAD LOOP - KANNADA - 15MB.mp4
16,KANNADA - THREAD LOOP - 26 JUNE 2010 -,3,Heat and air,http://www.youtube.com/watch?v=CwQK6M0GdYE,"This lung exerciser is made with a straw and piece of thread. This toy is a boon for children suffering from asthma. As children blow through the straw the thread loop goes round and round bringing immense joy to the child and egging her to blow harder and to exercise her lungs.
http://www.arvindguptatoys.com/toys/threadloop.html ","straw, blow, piece, children, round, thread, lungs, exercise, bringing, loop, child, asthma, boon, egging, exerciser, harder, immense, joy, lung, suffering, threadloop.html",1 MIN 06 SEC,THREAD LOOP - KANNADA - 14MB.wmv,downloads/THREAD LOOP - KANNADA - 14MB.wmv.mp4
17,KANNADA - HAND UP - 21 OCT 2012 -,10,Air and sound,http://www.youtube.com/watch?v=nvV-QMIdCdI,"Cut and remove the base of a plastic 1-liter bottle. Place and secure a medical rubber glove on the bottle mouth. Now as you push this bottle in a jar of water air will be expelled from the bottle and the limp glove will be inflated. It will be a surprise to see the inflate hand stand-up!
http://www.arvindguptatoys.com/toys/Handup.html ","bottle, plastic, water, cut, base, rubber, air, mouth, hand, push, glove, remove, liter, stand, secure, expelled, jar, limp, inflated, handup.html, surprise, medical, inflate",1 MIN 23 SEC,HAND-UP - KANNADA - 11MB.avi,downloads/HAND-UP - KANNADA - 11MB.avi.mp4
18,KANNADA - BLOW BALL - 21 OCT 2012 -,1,Spinning and moving objects,http://www.youtube.com/watch?v=xk0PeJ0maZk,"In this experiment an electric motor operates a high speed fan. And a fast air stream comes out of a tube. A ping-pong held on the mouth of the tube simply floats in the air stream. 
http://www.arvindguptatoys.com/toys/Ballblower.html ","fan, air, fast, tube, speed, experiment, ping, pong, stream, held, simply, operates, ballblower.html, mouth, floats, motor, electric",1 MIN 42 SEC,BLOW BALL - KANNADA - 12MB.avi,downloads/BLOW BALL - KANNADA - 12MB.avi.mp4
19,KANNADA - FLUTTERING BUTTERFLY - 17 MARCH 2013 -,5,Shapes and structures,http://www.youtube.com/watch?v=DldJUoSS_mE,"This model is a very good example of Art from Trash. Take a thin and long transparency strip. Stick a colorful paper butterfly on one end. The other end is taped to the base of an old CD. The butterfly will flutter on a flower stuck on top of the CD. A little breeze is enough to make the butterfly flutter. 
http://www.arvindguptatoys.com/toys/Flutteringbutterfly.html ","paper, butterfly, base, stick, top, trash, model, stuck, art, colorful, thin, flutter, taped, flutteringbutterfly.html, breeze, flower, transparency, cd, strip",1 MIN 57 SEC,FLUTTERING BUTTERFLY - KANNADA - 16MB,downloads/FLUTTERING BUTTERFLY - KANNADA - 16MB.mp4
20,KANNADA - DOLL DANCE ON CUP - 17 MARCH 2013 -,10,Air and sound,http://www.youtube.com/watch?v=JUGzP_COxsI,"This is a delightful toy which can be made in a jiffy. The legs of a paper doll are pasted on the diametric ends of a bottomless plastic cup. On pressing and releasing the rim the doll moves up and down and appears to dance. 
http://arvindguptatoys.com/toys/Dancingdolloncup.html ","plastic, cup, paper, moves, doll, pressing, releasing, legs, appears, rim, delightful, bottomless, jiffy, dancingdolloncup.html, diametric, pasted, dance",1 MIN 28 SEC,DOLL DANCE  ON CUP - KANNADA -10MB,downloads/DOLL DANCE  ON CUP - KANNADA -10MB.mp4
21,KANNADA - STRETCH AND JUMP - 17 MARCH 2013 -,10,Air and sound,http://www.youtube.com/watch?v=VUBPFCSVAaE,"This is a simple and delightful toy. As you press the card hoop the rubber band inside it is stretched. On releasing the rubber band makes the card jump. Now stick a frog to the card. On pressing and releasing the card the frog will jump up.
http://arvindguptatoys.com/toys/Strechandjump.html ","rubber, press, simple, inside, band, pressing, frog, releasing, jump, makes, stick, delightful, stretched, card, strechandjump.html, hoop",2 MIN 27 SEC,STRECH AND JUMP - KANNADA - 20MB,downloads/STRECH AND JUMP - KANNADA - 20MB.mp4
22,KANNADA - SHRINK AND SINK - 15 JULY 2013 -,10,Air and sound,http://www.youtube.com/watch?v=socbxHULRgI,"This is a new kind of Cartesian diver. Fill some ball bearings in a balloon to make it heavy. Inflate a little air and then tie its mouth. The balloon must just float in a mug of water. Then place the balloon in a 2-Liter water bottle filled to the brim. Shut the lid. On pressing from outside the balloon (being a closed system) will shrink, the buoyancy will reduce and it will sink. On releasing pressure it will float to the top.
http://arvindguptatoys.com/toys/Shrinkandsink.html","bottle, lid, water, ball, top, air, mouth, pressure, pressing, heavy, liter, filled, fill, releasing, shut, diver, tie, float, bearings, closed, cartesian, system, sink, inflate, shrinkandsink.html, brim, shrink, balloon, reduce, buoyancy, mug",2 MIN 01 SEC,SHRINK AND SINK - KANNADA - 15MB,downloads/SHRINK AND SINK - KANNADA - 15MB.mp4
23,KANNADA - REDUCE VOLUME INCREASE DENSITY - 15 JULY 2013 -,6,Mixing and reactions,http://www.youtube.com/watch?v=1OXkHoWvhvw,"Fill smoke from an incense stick in the glass barrel of a 20-ml syringe. Now shut the outlet and push in the plunger. The smoke will now be pushed into a small volume -- its density will increase and it will appear milky. On pulling out the plunger the same volume will be spread and the smoke will become transparent.
http://arvindguptatoys.com/toys/Reducevolumeincreasedensity.html ","syringe, plunger, fill, ml, barrel, pulling, push, volume, glass, increase, shut, transparent, outlet, pushed, milky, spread, reducevolumeincreasedensity.html, smoke, stick, incense, density",1 MIN 21 SEC,REDUCE VOLUME INCREASE DENSITY -  KANNADA - 9MB,downloads/REDUCE VOLUME INCREASE DENSITY -  KANNADA - 9MB.mp4
24,KANNADA - PRESS AND SPIN - 08 SEP 2013 -,1,Spinning and moving objects,http://www.youtube.com/watch?v=YPIZ9GyD7gU,"Make a turbine from card sheet and mount in on a flexi-wire. Tape the U shaped wire frame to a flexi-plastic bottle with a nozzle. The nozzle must be directly below the turbine. On pressing and releasing the bottle air will exit from the nozzle and spin the turbine!
http://arvindguptatoys.com/toys/Pressandspin.html ","spin, card, wire, plastic, tape, sheet, air, turbine, releasing, mount, frame, flexi, nozzle, shaped, exit, pressandspin.html, bottle, pressing, directly",2 MIN 38 SEC,PRESS AND SPIN - KANNADA - 20MB,downloads/PRESS AND SPIN - KANNADA - 20MB.mp4
25,KANNADA - BOTTLE BAROMETER - 17 FEB 2015 -,10,Air and sound,https://www.youtube.com/watch?v=kshLYvWn6fU,"This is a fun experiment using a cut out bottle. It is called as the Bottle Barometer. To make this you will need a 500-ml stiff coke bottle, a pen and a scissors. Now mark a half circle on the bottle right in its middle as shown. Then cut along the semi-circle. Now try and press the cut portion inwards. Because of the stiffness of the bottle it will take some effort to press the cut portion below. Now the Bottle Barometer is almost ready to experiment with. You will have a cut bottle with its top part pressed below. Remove the lid of the bottle and then completely immerse it in a color water bucket. On removing you will find that only half the bottle will be filled with water. Now, dip the bottle again in water and then screw on its cap. On lifting, this time you will find that most of the pressed top portion of the bottle will also be filled with color water. Why does this happen? Well, the open surface of the water in the bottle is subjected to atmospheric pressure. And it is this pressure which supports the raised column of water in the pressed and closed portion of the bottle. If you place a Styrofoam ball it will immediately float to the top. On removing the lid from the bottle the water from the top will be drained out. This is because then the raised portion of water on the top will also be subjected to atmospheric pressure. Here the children are experimenting and having fun.","bottle, lid, water, ball, cut, top, press, screw, pressure, pen, cap, experiment, children, fun, ready, surface, remove, time, stiff, color, scissors, filled, half, dip, styrofoam, middle, ml, shown, called, portion, bucket, float, lifting, happen, coke, completely, pressed, removing, raised, circle, closed, atmospheric, barometer, subjected, column, immediately, mark, inwards, drained, experimenting, semi, 500, effort, immerse, stiffness, supports",2 MIN 46 SEC,Bottle Barometer | Kannada | Fun with Pressure,downloads/Bottle Barometer | Kannada | Fun with Pressure.mp4
26,KANNADA - BERNOULLI BALLOON - 17 FEB 2015 -,6,Mixing and reactions,https://www.youtube.com/watch?v=fcVPe4e13GA,"This is a wonderful experiment showing Bernoulli’s Theorem. We will need two paper cups, knife, two straws, scissors and a balloon. First we will make a hole in the base of each paper cup. Then we will press fit a bendable straw in the holes of both cups. Then we will make a few slits on the surface of one paper cup so that the air blown through the straw can pass through. Then we will inflate the balloon to half. Now we will have two cups with straws. One cup will have slits the other will have no slits. 
Now we will place the inflated balloon in the cup without the slit and blow through the straw. No matter how hard we blow the balloon does not fall. We can also invert with the balloon down. On blowing the unsupported balloon will also not fall. We can test this again and again. Now repeat the same experiment using the cup with the slits. On blowing through the straw the balloon will rise in the air. Why does this happen?
On blowing through the plain cup air comes out at a high velocity and creates a low-pressure zone sucking the balloon on the cup. On the other hand when air is blown in the cup with the slits most of the air escaping through the slits is at atmospheric pressure and some of the air goes up lifting the balloon. This is a wonderful way to illustrate Bernoulli’s principle.","balloon, air, straw, experiment, inflate, blow, paper, pressure, cup, surface, test, press, hard, base, inflated, wonderful, slits, hand, escaping, fall, blowing, repeat, hole, cups, pass, matter, straws, blown, bendable, zone, sucking, fit, bernoulli’s, knife, happen, half, scissors, principle, velocity, holes, rise, creates, low, slit, invert, lifting, atmospheric, illustrate, plain, theorem, unsupported",4 MIN 40 SEC,Bernoulli Balloon | Kannada | Fun with Air Pressure,downloads/Bernoulli Balloon | Kannada | Fun with Air Pressure.mp4
27,KANNADA - FUN WITH BOYLE'S LAW - 24 FEB 2015 -,6,Mixing and reactions,https://www.youtube.com/watch?v=Pv9JdYTp5wg,"In this experiment will have lots of fun with several variations of Boyle’s Law. We need 4 big and brand new 60-ml syringes and a few balloons. Fill a small amount of water in a balloon and tie a knot. This will make a baby balloon which must be small enough to go easily in the barrel of the syringe. Blow a small amount of air in another balloon and tie a knot. This is the baby balloon filled with air. The two balls to the right have water and the ones to the left have air. This is a 6-ml brand new syringe. You can pull out the plunger. Place the baby balloon in the barrel and place the plunger back. This will be the basic mode of our experiment. 
First we have an air baby balloon in barrel with air. On pressing the plunger air will compress and the baby ball will shrink in size. On pulling the plunger the baby ball will expand. You can see this more clearly in the close up shots. Air can easily be compressed so the air balloon shrinks or expands. 
Secondly, we have air inside the syringe but water in the balloon. Once you push the plunger water being incompressible the water balloon does not shrink. On pulling the plunger out the water balloon does not expand. Which means it is not possible to shrink or expand a water balloon. You can see this more clearly in the close-up shots.
Thirdly, we have color water in the syringe and air in the ball. On pushing the plunger in the air balloon will shrink and shrivel. On pulling the syringe out the air balloon will expand and become much larger. An air balloon can shrink and bloat. You can see this more clearly in the close-up shots.
Fourthly, we have color water in the syringe and a water balloon. This time no matter how hard you try it will be near impossible to push the plunger or pull it out. As the whole syringe and the balloon are filled with water it is almost impossible to compress water. So, it is not possible to move the plunger. 
Hope you have had great fun with this experiment and got a deeper insight into the compressibility of air and water.","balloon, water, air, color, experiment, syringe, size, tie, shrink, plunger, fill, blow, ml, pull, inside, baby, balloons, basic, fun, hard, ball, barrel, easily, time, knot, means, pulling, push, expand, syringes, left, close, compressed, filled, law, pushing, larger, matter, amount, shots, incompressible, balls, lots, impossible, brand, compress, move, pressing, shrinks, deeper, bloat, boyle’s, compressibility, expands, fourthly, hope, insight, mode, shrivel, thirdly, variations",3 MIN 29 SEC,Fun with Boyle's law | Kannada | Fun with Pressure,downloads/Fun with Boyle's law | Kannada | Fun with Pressure.mp4
28,KANNADA - LIFTING FAN - 01 MAY 2015 -,1,Spinning and moving objects,https://www.youtube.com/watch?v=hElIQl1y-wg,"In this experiment as the blow on the red fan the yellow card lifts up. How does it happen? To investigate you will need a set-up like this. A rubber base with a stiff straw mounted vertically, a cycle nut and card sheet. This is how you make the fan. Cut all the dark lines and discard the four triangles. Then fold on all the four dotted lines to make the propeller. Press fit a toothpick in the center of the propeller. First place a cycle nut in the stiff straw. The nut reduces friction. Then place a sky blue card with a hole. Now blow hard. No matter how much you blow the blue card will not lift up. Now you put the red fan with the toothpick in the hole of the stiff straw. On blowing hard on the red fan the blue card will lift up. See this in a close-up. As the red fan rotates it creates a low pressure zone which lifts the blue card.","fan, straw, card, cut, propeller, hole, center, sheet, base, cycle, mounted, rotates, blow, rubber, press, friction, stiff, low, fit, lift, blowing, experiment, vertically, close, nut, toothpick, happen, lifts, creates, hard, reduces, matter, sky, investigate, pressure, lines, discard, dotted, blue, set, zone, fold, dark, yellow, red, triangles",2 MIN 01 SEC,Lifting Fan | Kannada,downloads/Lifting Fan | Kannada.mp4
29,KANNADA - AIR HAS WEIGHT - 20 MAY 2015 -,6,Mixing and reactions,https://www.youtube.com/watch?v=2J3iCLXpSxs,"We all intuitively know that air has weight, but have you ever tested it. Let’s try it. Take a 1.5-liter empty plastic bottle. Then fill air in this bottle with a cycle pump. The difference before and after will be the weight of the air.
You will need a 1.5-liter plastic bottle, cycle pump, cycle valve and a pan balance. You will need a cycle valve for filling air. Remove this valve carefully from an old cycle tube. Fix the valve in the bottle lid as shown. Ensure there is no air leakage. Then tightly screw the lid on the bottle. 
Then attach the valve to a cycle pump. With the help of friends fill the bottle with air. Pump hard and fill as much air as you can. The bottle will become hard and taut. Then weigh the air filled bottle on the pan balance. The reading is 51-gms. Then remove the valve and release the compressed air. Weigh the empty bottle again on the pan balance. This time it weighs 48-gms. So the weight of the air must be 51 – 48 = 3-gms.
This is a similar experiment. Hang two inflated balloons from the two ends of a long straw. Balance the balloons. On pricking and bursting one balloon the other balloon will go down showing that air has weight.","balloon, air, straw, experiment, valve, tube, pump, cycle, fill, empty, balloons, hard, inflated, time, compressed, hang, filled, plastic, friends, fix, release, remove, tightly, gms, 1.5, let’s, bottle, ensure, difference, liter, tested, bursting, pricking, weigh, leakage, intuitively, taut, similar, filling, attach, screw, carefully, pan, lid, shown, weighs, balance, reading, weight",2 MIN 26 SEC,Air has Weight | Kannada,downloads/Air has Weight | Kannada.mp4
30,KANNADA - BOYLE'S BALLOON IN BOTTLE - 10 JAN 2016 -,6,Mixing and reactions,https://www.youtube.com/watch?v=4_EASNgGHK0,"In the 17th century the British scientist Robert Boyle observed that at constant temperature the product of the Pressure (P) and Volume (V) remains almost a CONSTANT (PV = Constant). We can test this through a simple experiment. We will need a Cycle Valve from an old cycle tube. Affix this Cycle Valve on a 2-litre bottle lid. Fix the inside of the valve with the rubber tube and then screw on the nut. This is a ONE-WAY Valve. It allows air to enter but prevents it from escaping. Place a bent straw in a 2-litre bottle. The purpose of the straw is to provide an exit for the air when you blow the balloon. Place a balloon in the bottle and blow the balloon with your mouth. As the balloon inflates air will escape from the bottle through the straw. Tie a knot on the mouth of the balloon and place it inside the bottle. Remove the straw. The fully blown balloon will press against the sides of the bottle and no matter how hard you try it will not move up or down even on shaking the bottle. Then screw on the lid with the valve. Attach the valve to the Cycle Pump Hose. Now pump air in the bottle. As you pump air in the bottle the Air Pressure in the bottle will increase and the Volume of the Balloon will shrink. After a while the Balloon will shrink enough and fall inside the bottle. You can visibly see that as the Pressure (P) increases the Volume (V) of the Balloon decreases.
Now open the Valve and let the pressurized air escape. As the Pressure decreases in the bottle the balloon again bloats and inflates – reaffirming the fact that the product of Pressure and Volume is almost a constant!



Credits:,Ashok Rupner, Manish Jain, Pradnya Pujari, Shivaji Mane, Jyoti Hiremath, Arvind Gupta, Vidula Mhaiskar","balloon, air, straw, experiment, valve, tube, pump, tie, shrink, cycle, rupner, blow, inside, pressure, rubber, test, press, hard, mouth, knot, volume, escaping, constant, escape, fall, increase, litre, fix, simple, matter, remove, blown, remains, shaking, bottle, prevents, visibly, decreases, inflates, product, provide, temperature, move, enter, bent, british, increases, century, 17th, affix, bloats, boyle, observed, pressurized, purpose, pv, reaffirming, robert, scientist, hose, exit, nut, attach, screw, lid",3 MIN 10 SEC,Boyle's Balloon In Bottle | Kannada,downloads/Boyle's Balloon In Bottle | Kannada.mp4
